"requestid","boro","yr","m","d","hh","mm","vol","segmentid","wktgeom","street","fromst","tost","direction"
"22562","Queens","2016","5","8","22","30","253","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","22","45","245","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","23","0","216","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","23","15","263","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","23","30","207","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","8","23","45","144","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","0","0","129","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","0","15","108","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","0","30","100","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","0","45","67","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","1","0","82","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","1","15","68","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","1","30","55","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","1","45","45","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","2","0","53","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","2","15","41","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","2","30","45","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","2","45","52","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","3","0","39","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","3","15","37","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","3","30","49","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","3","45","68","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","4","0","62","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","4","15","67","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","4","30","124","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","4","45","150","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","5","0","179","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","5","15","251","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","5","30","309","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","5","45","355","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","6","0","426","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","6","15","461","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","6","30","497","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","6","45","489","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
"22562","Queens","2016","5","9","7","0","500","155613","POINT (1059678.8154876027 198480.09766927382)","HEMPSTEAD AVENUE","Cross Island Parkway","Cross Is Pkwy Nb En Hempstead Wb","WB"
